연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,戶 한문,戶 아라비아 숫자,戶 아라비아,
1,3,wda_400020,京都漢城府,五部,경도한양부,오부,一萬七千一十五。,17015,17015,0
2,3,wda_400020,京都漢城府,城底十里,경도한양부,성저십리,"一千七百七十九,",1779,1779,0
3,3,wda_400030,舊都開城留後司,都城,개성유후사,도성,"四千八百十九,",4819,4819,0
4,3,wda_400030,舊都開城留後司,屬縣 開城,개성유후사,속현개성,"八百四十四,",844,844,0
5,3,wda_400040,京畿,,경기,,"二萬八百八十二,",20882,20882,0
6,3,wda_400050,忠淸道,,충청도,,"二萬四千一百七十,",24170,24170,0
7,3,wda_400060,慶尙道,,경상도,,"四萬二千二百二十七,",42227,42227,0
8,3,wda_400070,全羅道,,전라도,,"二萬四千七十三,",24073,24073,0
9,3,wda_400080,黃海道,,황해도,,"二萬三千五百十一,",23501,23511,-10
10,3,wda_400090,江原道,,강원도,,"一萬一千八十四,",11084,11084,0
